ts_event,OFI1,OFI1,OFI2,OFI3,OFI4,OFI5,OFI6,OFI7,OFI8,OFI9,OFI10,OFI_I,CrossOFI
2024-10-21 12:33:00+00:00,-12.0,-12.0,-1030.0,820.0,532.0,400.0,-1598.0,196.0,1090.0,-206.0,-1416.0,-86.4264806280355,-1224.0
2024-10-21 12:34:00+00:00,424.0,424.0,-3528.0,1689.0,3984.0,-4787.0,1388.0,5404.0,-4672.0,-881.0,-80.0,-974.7245690310331,-1059.0
2024-10-21 12:35:00+00:00,927.0,927.0,-756.0,1226.0,-196.0,-1200.0,1591.0,510.0,-1743.0,-132.0,-288.0,-378.6274238230171,-61.0
2024-10-21 12:36:00+00:00,-287.0,-287.0,-1119.0,2753.0,610.0,305.0,1413.0,-380.0,-864.0,-38.0,-74.0,-53.943062976786656,2319.0
2024-10-21 12:37:00+00:00,-351.0,-351.0,-140.0,1083.0,1614.0,403.0,-2381.0,635.0,310.0,-2394.0,-36.0,-491.8493960133878,-1257.0
2024-10-21 12:38:00+00:00,37.0,37.0,-1922.0,-254.0,-1576.0,-2381.0,-1453.0,-2624.0,703.0,354.0,-1639.0,-452.9464464685677,-10755.0
2024-10-21 12:39:00+00:00,26.0,26.0,-899.0,676.0,-76.0,-629.0,-197.0,-498.0,68.0,296.0,-209.0,-0.06591486562489024,-1442.0
2024-10-21 12:40:00+00:00,533.0,533.0,1352.0,80.0,348.0,-374.0,-894.0,979.0,302.0,-115.0,1499.0,378.8543457622347,3710.0
2024-10-21 12:41:00+00:00,-343.0,-343.0,-1695.0,-282.0,-1016.0,-1351.0,-328.0,677.0,899.0,-1197.0,397.0,32.23526616489518,-4239.0
2024-10-21 12:42:00+00:00,487.0,487.0,424.0,1459.0,853.0,-483.0,1564.0,1486.0,-888.0,1319.0,1171.0,579.912589594851,7392.0
2024-10-21 12:43:00+00:00,57.0,57.0,-872.0,-499.0,-37.0,1760.0,1408.0,1.0,-202.0,1097.0,20.0,288.753086927336,2733.0
2024-10-21 12:44:00+00:00,93.0,93.0,-523.0,-2817.0,856.0,1036.0,-583.0,-450.0,1698.0,-584.0,-609.0,140.24180281016476,-1883.0
2024-10-21 12:45:00+00:00,-387.0,-387.0,-316.0,1665.0,1984.0,-790.0,498.0,2699.0,-575.0,-395.0,69.0,104.29079024731752,4452.0
2024-10-21 12:46:00+00:00,178.0,178.0,-385.0,-1000.0,964.0,-21.0,-202.0,-900.0,-402.0,-192.0,-1100.0,-445.9532680373163,-3060.0
2024-10-21 12:47:00+00:00,75.0,75.0,-3220.0,1414.0,1017.0,-2084.0,1368.0,3285.0,-789.0,485.0,647.0,377.9174143787271,2198.0
2024-10-21 12:48:00+00:00,-18.0,-18.0,-1336.0,1863.0,1633.0,193.0,-687.0,2006.0,-761.0,-1871.0,-627.0,-551.4959115128779,395.0
2024-10-21 12:49:00+00:00,-39.0,-39.0,1772.0,3840.0,-1597.0,-11.0,1408.0,115.0,1188.0,1290.0,998.0,1061.5589284626055,8964.0
2024-10-21 12:50:00+00:00,400.0,400.0,-2800.0,2110.0,-2794.0,593.0,2300.0,-2870.0,-233.0,43.0,78.0,-45.44418298885651,-3173.0
2024-10-21 12:51:00+00:00,-335.0,-335.0,-205.0,3467.0,-125.0,700.0,905.0,-285.0,286.0,-25.0,-390.0,199.18645601516408,3993.0
2024-10-21 12:52:00+00:00,-70.0,-70.0,-157.0,580.0,1471.0,-1571.0,443.0,2504.0,-1791.0,-342.0,307.0,-290.67604734229644,1374.0
2024-10-21 12:53:00+00:00,-1180.0,-1180.0,-1097.0,-156.0,169.0,-601.0,-801.0,-2.0,-596.0,-1142.0,-713.0,-684.6238908037362,-6119.0
2024-10-21 12:54:00+00:00,-155.0,-155.0,39.0,833.0,-124.0,1326.0,1901.0,13.0,928.0,1350.0,-959.0,594.6314433790644,5152.0
2024-10-21 12:55:00+00:00,-1901.0,-1901.0,-140.0,372.0,655.0,-2657.0,196.0,-100.0,-1587.0,-293.0,-1173.0,-798.0126497458016,-6628.0
2024-10-21 12:56:00+00:00,217.0,217.0,527.0,226.0,175.0,374.0,-525.0,199.0,604.0,-328.0,-519.0,7.847721966259982,950.0
2024-10-21 12:57:00+00:00,25.0,25.0,14.0,20.0,800.0,1207.0,1.0,1000.0,505.0,30.0,224.0,312.3796240741236,3826.0
2024-10-21 12:58:00+00:00,16.0,16.0,512.0,1014.0,-86.0,-1826.0,831.0,-1470.0,-171.0,-321.0,96.0,-72.26749770372868,-1405.0
2024-10-21 12:59:00+00:00,0.0,0.0,3.0,8.0,-219.0,-395.0,-915.0,799.0,-2102.0,266.0,876.0,-484.4044175824033,-1679.0
2024-10-21 13:00:00+00:00,-1003.0,-1003.0,436.0,1718.0,-281.0,-2123.0,-713.0,458.0,1458.0,-2021.0,995.0,210.3833688974377,-1076.0
2024-10-21 13:01:00+00:00,-1122.0,-1122.0,-1064.0,-2120.0,-1201.0,-38.0,-1475.0,1495.0,416.0,-797.0,2105.0,142.0018493919079,-3801.0
2024-10-21 13:02:00+00:00,-4502.0,-4502.0,-5953.0,-3883.0,-1163.0,-2011.0,-1072.0,-1850.0,-1474.0,3230.0,-2177.0,-864.0075581315061,-20855.0
2024-10-21 13:03:00+00:00,-60.0,-60.0,-1216.0,1742.0,1242.0,922.0,1103.0,2167.0,-442.0,562.0,1709.0,670.1588054758172,7729.0
2024-10-21 13:04:00+00:00,-196.0,-196.0,-912.0,-738.0,138.0,-714.0,-537.0,289.0,-940.0,-653.0,-308.0,-561.1210162338099,-4571.0
